idiom,num_contexts,contexts
Ser terreno pantanoso,0,
Ser tonto de capirote,0,
Ser tonto del haba,0,
Ser tormenta de verano,0,
Ser transparente,0,
Ser un aguafiestas,0,
Ser un ángel,0,
Ser un as ,0,
Ser un barril de pólvora,0,
Ser un bocazas,0,
Ser un buen pájaro,0,
Ser un buen partido,0,
Ser un buitre,0,
Ser un calavera,0,
Ser un calzonazos,0,
Ser un camino de baches,0,
Ser un cero a la izquierda,0,
Ser un chorizo,0,
Ser un chupatintas,0,
Ser un demonio,0,
Ser un disco rallado,0,
Ser un fantasma,0,
Ser un gallina,0,
Ser un gallito,0,
Ser un globo sonda,0,
Ser un hacha,0,
Ser un hijo de papá,0,
Ser un hueso duro de roer,0,
Ser un libro abierto,0,
Ser un lince,0,
Ser un lobo con piel de cordero,0,
Ser un lobo solitario,0,
Ser un lumbreras,0,
Ser un manazas,0,
Ser un manirroto,0,
Ser un manitas,0,
Ser un manojo de nervios,0,
Ser un muerto de hambre,0,
Ser un niño de mamá,0,
Ser un palillo,0,
Ser un paso en la buena dirección,0,
Ser un pato,0,
Ser un pelma,0,
Ser un perro,0,
Ser un peso pesado,0,
Ser un petardo,0,
Ser un pez gordo,0,
Ser un plomo,0,
Ser un plumas,0,
Ser un primer espada,0,
Ser un pulpo,0,
Ser un rata,0,
Ser un ratón de biblioteca,0,
Ser un rollo,0,
Ser un saco de huesos,0,
Ser un soplo de aire fresco,0,
Ser un tipo duro,0,
Ser un trepa,0,
Ser un trozo de pan,0,
Ser una balsa de aceite,0,
Ser una causa perdida,0,
Ser una celestina,0,
Ser una falsa alarma,0,
Ser una gota en el océano,0,
Ser una lata,0,
Ser una mosquita muerta,0,
Ser una tumba,0,
Ser una victoria Pírrica,0,
Ser uña y carne,0,
Siempre hay un roto para un descosido,0,
Silbarle los oídos a alguien,0,
Sin comerlo ni beberlo,0,
Soltar amarras,0,
Soltarle cuatro frescas a alguien,0,
Soltarse el pelo,0,
Son habas contadas,0,
Son los mismos perros con distinto collar,0,
Sonar a chino,0,
Soñar despierto,0,
Sorber el seso,0,
Soy todo oídos,1,Soy todo oídos.
Subirse a la chepa,0,
Subirse a la parra,0,
Subirse a las barbas de alguien,0,
Subirse al tren,0,
Subirse por las paredes,0,
Sudar la gota gorda,0,
Tapar agujeros,0,
Tapar las vergüenzas,0,
Tender puentes,0,
Tender una mano,0,
Tener a alguien en el saco,0,
Tener agallas,0,
Tener algo a mano,0,
Tener algo en la punta de la lengua,0,
Tener algo entre ceja y ceja,0,
Tener atragantado a alguien,0,
Tener buen ojo,0,
Tener buen olfato,0,
Tener buen pico,0,
Tener cara dura,0,
Tener cuerda para rato,0,
Tener delito,0,
Tener diarrea mental,0,
Tener dos dedos de frente,0,
Tener el corazón de piedra,0,
Tener el corazón en un puño,0,
Tener el diablo en el cuerpo,0,
Tener el estómago lleno,0,
Tener el guapo subido,0,
Tener la cabeza bien amueblada,0,
Tener la cabeza como un bombo,0,
Tener la cabeza como una bola de billar,0,
Tener la cabeza cuadrada,0,
Tener la cabeza en las nubes,0,
Tener la cabeza en su sitio,0,
Tener la cabeza hueca,0,
Tener la cabeza sobre los hombros,0,
Tener la fiesta en paz,0,
Tener la lengua afilada,0,
Tener la lengua larga,0,
Tener la mano larga,0,
Tener la mosca detrás de la oreja,0,
Tener la pelota en tu tejado,0,
Tener la piel muy fina,0,
Tener la sartén por el mango,0,
Tener la sensibilidad a flor de piel,0,
Tener las espaldas anchas,0,
Tener las manos atadas,0,
Tener lengua viperina,0,
Tener los días contados,0,
Tener los pies en la tierra,0,
Tener mal la chaveta,0,
Tener mala leche,0,
Tener mala pata,0,
Tener mala uva,0,
Tener malas pulgas,0,
Tener mano izquierda,0,
Tener mariposas en el estómago,0,
Tener más cuento que Calleja,0,
Tener memoria de pez,0,
Tener mucha miga,0,
Tener mucha mili,0,
Tener muchas teclas que tocar,0,
Tener mucho morro,0,
Tener mucho ojo,0,
Tener muchos humos,0,
Tener nervios de acero,0,
Tener ojo clínico,0,
Tener ojos en la nuca,0,
Tener pájaros en la cabeza,0,
Tener pocas luces,0,
Tener pocos alcances,0,
Tener potra,0,
Tener rostro de cemento,0,
Tener salero,0,
Tener salud de hierro,0,
Tener sangre de horchata,0,
Tener sangre fría,0,
Tener serrín en la cabeza,0,
Tener tablas,0,
Tener un agujero en el bolsillo,0,
Tener un agujero en el estómago,0,
Tener un as en la manga,0,
Tener un día negro,0,
Tener un hambre de lobo,0,
Tener un nudo en la garganta,0,
Tener un pico de oro,0,
Tener un pie en la tumba,0,
Tener un rifirafe,0,
Tener un tropiezo,0,
Tener una flor en el culo,0,
Tener una memoria de elefante,0,
Tener una mente abierta,0,
Tener vía libre,0,
Tiran más dos tetas que dos carretas,0,
Tirar de la lengua,0,
Tirar de la manta,0,
Tirar del hilo,0,
Tirar la casa por la ventana,0,
Tirar la toalla,0,
Tirar piedras contra el propio tejado,0,
Tirar por la calle de en medio,0,
Tirarlo todo por la borda,0,
Tirarse de los pelos,0,
Tirarse un farol,0,
Tocar fondo,0,
Tocar la china,0,
Tocar la pera,0,
Tocar las narices,0,
Tocar las pelotas,0,
Tocar madera,0,
Tocar todas las teclas,0,
Todos los caminos llevan a Roma,0,
Tomar cartas en el asunto,0,
Tomar el pelo,0,
Tomar la palabra a alguien,0,
Tomar las de Villadiego,0,
Tomar por el pito del sereno,0,
Tomarse algo a pecho,0,
Trabajar como un burro,0,
Trabajar de sol a sol,0,
Traerse algo entre manos,0,
Tragar saliva,0,
Tragarse el orgullo,0,
Tragarse un sapo,0,
Tragarse una mentira,0,
Tratar a alguien con pinzas,0,
Un clavo saca otro clavo,0,
Valer lo que pesa,0,
Vender la moto,0,
Vender la piel del oso antes de cazarlo,0,
Venir como anillo al dedo,0,
Venir con historias,0,
Venir con monsergas,0,
Venir con un pan debajo del brazo,0,
Venir de perlas,0,
Venir que ni pintado,0,
Venir volando,0,
Venirse arriba,0,
Ver el cielo abierto,0,
Ver la luz al final del tunel,0,
Ver la paja en el ojo ajeno,0,
Ver las orejas al lobo,0,
Ver todo de color de rosa,0,
Verlas venir,0,
Verlo todo negro,0,
Verse de higos a brevas,0,
Viva la Pepa,0,
Vivir a cuerpo de rey,0,
Vivir al día,0,
Vivir como un marqués,0,
Vivir de renta,0,
Vivir del cuento,0,
Vivir en el culo del mundo,0,
Vivir en el lado oscuro,0,
Vivir en tiempos de vacas flacas,0,
Vivir en tiempos de vacas gordas,0,
Vivito y coleando,0,
Volar alto,0,
Y vuelve la burra al trigo,0,
